DFW data by course for Fall 2020 - Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,% of enrolled students who are repeating,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
NSM,Mathematics,STAT,STAT 10A,Intro Stat I w/ Dev. Math,Lower,3,4,593,148,5.5%,14.1%,23.4%,24.9%,16.7%,19.1%,26.1%,26.3%,16.7%,27.8%,0.0%,50.0%,29.0%,13.3%,17.7%,27.7%,25.5%,21.2%,-8.3,7.0,13.0,3.3,14.5,-13.3,36.7,15.7,10.0,4.3,81.8%,18.2%,62.1%,9.6%,24.3%,46.7%,0.2%,0.7%,5.2%,10.1%,42.8%,57.2%,48.9%,
NSM,Mathematics,STAT,STAT 10B,Intro Stat II w/ Dev. Math,Lower,3,4,463,116,15.7%,7.9%,21.6%,21.1%,24.0%,19.6%,22.9%,23.1%,19.8%,23.6%,,25.0%,23.8%,15.4%,19.2%,23.5%,25.6%,18.1%,2.9,3.4,7.7,4.5,8.2,,9.6,8.4,4.3,7.5,83.8%,16.2%,60.3%,8.4%,26.1%,45.8%,,0.9%,4.5%,11.2%,44.9%,55.1%,47.3%,
NSM,Mathematics,STAT,STAT 50,Intro Probability+Stat,Lower,4,4,733,183,9.6%,12.8%,19.6%,20.4%,19.6%,17.9%,21.7%,38.1%,16.7%,24.3%,0.0%,0.0%,24.6%,15.9%,18.0%,25.3%,21.0%,19.5%,-0.8,3.7,22.2,0.8,8.4,-15.9,-15.9,8.7,7.3,1.5,14.7%,85.1%,46.0%,2.9%,32.6%,18.6%,0.1%,0.5%,7.8%,26.6%,77.9%,22.1%,30.6%,
NSM,Mathematics,STAT,STAT 103,Intermediate Statistics,Upper,3,1,22,22,,0.0%,9.1%,20.0%,5.9%,7.7%,11.1%,0.0%,14.3%,16.7%,,,,0.0%,6.7%,14.3%,20.0%,6.3%,-14.1,3.4,0.0,14.3,16.7,,,,7.6,13.8,22.7%,77.3%,40.9%,4.5%,31.8%,27.3%,,,,27.3%,68.2%,31.8%,22.7%,
NSM,Mathematics,STAT,STAT 115A,Intro Probability Theory,Upper,3,2,93,47,7.5%,,19.4%,22.2%,18.2%,17.6%,21.4%,0.0%,23.5%,35.0%,,,0.0%,3.8%,15.5%,31.8%,34.5%,13.8%,-4.0,3.8,-3.8,19.7,31.2,,,-3.8,16.3,20.7,29.0%,71.0%,45.2%,2.2%,36.6%,21.5%,,,4.3%,28.0%,76.3%,23.7%,31.2%,
NSM,Mathematics,STAT,STAT 115B,Intro Math Statistics,Upper,3,2,51,26,,3.9%,13.7%,21.4%,10.8%,17.2%,9.1%,50.0%,14.3%,0.0%,,,0.0%,16.7%,14.6%,10.0%,14.3%,12.1%,-10.6,-8.2,33.3,-2.4,-16.7,,,-16.7,-4.6,2.2,27.5%,72.5%,43.1%,3.9%,27.5%,15.7%,,,7.8%,35.3%,80.4%,19.6%,27.5%,
NSM,Mathematics,STAT,STAT 128,Statistical Computing,Upper,3,2,48,24,0.0%,,10.4%,10.0%,10.5%,8.3%,12.5%,0.0%,11.1%,18.2%,0.0%,,100.0%,0.0%,8.8%,14.3%,16.7%,9.1%,0.5,4.2,0.0,11.1,18.2,0.0,,100.0,5.5,7.6,20.8%,79.2%,50.0%,4.2%,18.8%,22.9%,2.1%,,4.2%,39.6%,70.8%,29.2%,25.0%,
NSM,Mathematics,STAT,STAT 155,Intro Tech Oper Research,Upper,3,1,10,10,,0.0%,20.0%,0.0%,22.2%,12.5%,50.0%,,33.3%,50.0%,,,,0.0%,12.5%,50.0%,,12.5%,22.2,37.5,,33.3,50.0,,,,37.5,,10.0%,90.0%,20.0%,,30.0%,20.0%,,,,40.0%,80.0%,20.0%,,
NSM,Mathematics,STAT,STAT 196K,Big Data,Upper,3,2,39,20,,0.0%,7.7%,0.0%,9.7%,0.0%,15.8%,0.0%,22.2%,0.0%,0.0%,,,5.9%,10.7%,0.0%,11.1%,3.6%,9.7,15.8,-5.9,16.3,-5.9,-5.9,,,-10.7,7.5,20.5%,79.5%,48.7%,5.1%,23.1%,20.5%,2.6%,,,43.6%,71.8%,28.2%,23.1%,
NSM,Mathematics,STAT,STAT 199,Special Problems,Upper,1,1,1,1,,,0.0%,,0.0%,,0.0%,,0.0%,,,,,,0.0%,,,0.0%,,,,,,,,,,,,100.0%,100.0%,,100.0%,,,,,,100.0%,,,
NSM,Natural Sciences & Mathematics,NSM,NSM 12A,Peer-Assisted Learning CHEM 4,Lower,1,4,118,30,,,21.2%,24.1%,15.4%,15.2%,25.0%,12.5%,9.1%,28.3%,,,0.0%,26.7%,14.0%,26.5%,28.3%,16.9%,-8.7,9.8,-14.2,-17.6,1.7,,,-26.7,12.5,11.4,66.9%,33.1%,61.0%,6.8%,18.6%,50.8%,,,6.8%,12.7%,42.4%,57.6%,44.9%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12B,Peer-Assisted Learn  MATH 29,Lower,1,4,30,8,,,16.7%,27.3%,10.5%,10.0%,20.0%,0.0%,0.0%,33.3%,,,,0.0%,0.0%,27.8%,35.7%,0.0%,-16.7,10.0,0.0,0.0,33.3,,,,27.8,35.7,36.7%,63.3%,66.7%,10.0%,33.3%,50.0%,,,,3.3%,40.0%,60.0%,46.7%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12C,Peer-Assist Learning CHEM 1A,Lower,1,4,198,50,,,9.6%,8.2%,13.5%,10.8%,8.6%,17.6%,2.9%,11.6%,0.0%,0.0%,9.1%,3.0%,6.6%,12.1%,16.4%,6.3%,5.2,-2.2,14.6,-0.2,8.6,-3.0,-3.0,6.1,5.6,10.1,73.7%,26.3%,53.0%,8.6%,17.7%,43.4%,0.5%,1.5%,5.6%,16.7%,46.0%,54.0%,33.8%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12D,Peer-Assisted Learning CHEM 1B,Lower,1,4,108,27,,,3.7%,2.5%,6.9%,4.5%,3.1%,14.3%,4.0%,3.4%,,0.0%,0.0%,4.5%,2.9%,5.0%,5.3%,3.1%,4.4,-1.4,9.7,-0.5,-1.1,,-4.5,-4.5,2.1,2.2,73.1%,26.9%,59.3%,6.5%,23.1%,26.9%,,3.7%,13.0%,20.4%,63.0%,37.0%,35.2%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12E,Peer-Assist Learn for MATH 30,Lower,1,4,78,20,,,14.1%,12.0%,15.1%,17.4%,9.4%,11.1%,14.3%,13.8%,,,20.0%,20.0%,15.0%,13.2%,14.8%,15.6%,3.1,-8.0,-8.9,-5.7,-6.2,,,0.0,-1.8,-0.7,32.1%,67.9%,41.0%,11.5%,26.9%,37.2%,,,6.4%,12.8%,51.3%,48.7%,34.6%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12F,Peer-Assisted Learning MATH 31,Lower,1,4,74,19,,,16.2%,0.0%,20.7%,19.4%,14.0%,25.0%,13.6%,7.1%,,0.0%,0.0%,41.7%,22.0%,9.1%,15.0%,18.4%,20.7,-5.4,-16.7,-28.0,-34.5,,-41.7,-41.7,-12.9,-3.4,21.6%,78.4%,58.1%,5.4%,29.7%,37.8%,,1.4%,4.1%,16.2%,55.4%,44.6%,27.0%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12H,Peer-Assisted Learning BIO 121,Lower,1,4,102,26,,,4.9%,4.3%,6.3%,1.9%,8.2%,100.0%,4.3%,3.2%,,0.0%,0.0%,3.8%,2.9%,8.8%,8.0%,4.1%,2.0,6.3,96.2,0.5,-0.6,,-3.8,-3.8,5.9,3.9,68.6%,31.4%,48.0%,2.0%,22.5%,30.4%,,1.0%,9.8%,25.5%,66.7%,33.3%,24.5%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12I,Peer-Assisted Learning BIO 22,Lower,1,4,159,40,,,8.2%,3.2%,15.2%,4.5%,10.9%,8.3%,3.0%,13.4%,,,0.0%,6.9%,3.8%,12.7%,13.3%,5.1%,11.9,6.4,1.4,-3.9,6.5,,,-6.9,8.9,8.2,58.5%,41.5%,57.9%,7.5%,20.8%,42.1%,,,8.2%,18.2%,50.3%,49.7%,37.7%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12J,Peer-Assisted Learning Math 32,Lower,1,4,22,6,,,4.5%,20.0%,0.0%,0.0%,7.1%,0.0%,0.0%,0.0%,,,100.0%,0.0%,6.7%,0.0%,0.0%,5.9%,-20.0,7.1,0.0,0.0,0.0,,,100.0,-6.7,-5.9,22.7%,77.3%,63.6%,4.5%,36.4%,27.3%,,,4.5%,22.7%,68.2%,31.8%,22.7%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12L,Peer-Assisted Learning BIO 184,Lower,1,4,79,20,,,7.6%,5.2%,14.3%,3.1%,10.6%,33.3%,0.0%,11.1%,,100.0%,0.0%,6.7%,2.1%,16.1%,14.3%,5.7%,9.1,7.5,26.7,-6.7,4.4,,93.3,-6.7,14.0,8.6,73.4%,26.6%,59.5%,3.8%,27.8%,34.2%,,1.3%,10.1%,19.0%,60.8%,39.2%,26.6%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12N,Peer-Assisted Learning CHEM 24,Lower,1,4,104,26,,,4.8%,4.5%,5.4%,0.0%,7.9%,0.0%,9.4%,5.6%,,0.0%,0.0%,0.0%,4.8%,4.8%,9.4%,2.9%,0.9,7.9,0.0,9.4,5.6,,0.0,0.0,-0.1,6.5,64.4%,35.6%,60.6%,4.8%,30.8%,34.6%,,1.0%,8.7%,17.3%,59.6%,40.4%,30.8%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12P,Peer-Assisted Learning STAT 1,Lower,1,3,56,19,,,3.6%,4.1%,0.0%,5.0%,2.8%,0.0%,0.0%,4.5%,0.0%,,12.5%,0.0%,3.3%,3.8%,5.9%,2.6%,-4.1,-2.2,0.0,0.0,4.5,0.0,,12.5,0.5,3.3,87.5%,12.5%,64.3%,5.4%,23.2%,39.3%,1.8%,,14.3%,12.5%,53.6%,46.4%,30.4%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12R,Peer-Assisted Learning MATH 12,Lower,1,4,47,12,,,8.5%,12.5%,0.0%,13.3%,6.3%,40.0%,0.0%,3.6%,,0.0%,0.0%,0.0%,7.7%,8.8%,10.7%,0.0%,-12.5,-7.1,40.0,0.0,3.6,,0.0,0.0,1.1,10.7,68.1%,29.8%,68.1%,10.6%,14.9%,59.6%,,2.1%,4.3%,2.1%,27.7%,72.3%,59.6%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12S,Peer-Asst Learning CHEM 124,Lower,1,4,85,21,,,4.7%,6.7%,0.0%,0.0%,7.4%,0.0%,4.0%,7.1%,,0.0%,0.0%,4.3%,3.8%,6.3%,0.0%,7.4%,-6.7,7.4,-4.3,-0.3,2.8,,-4.3,-4.3,2.5,-7.4,70.6%,29.4%,63.5%,3.5%,29.4%,32.9%,,1.2%,3.5%,27.1%,62.4%,37.6%,35.3%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12T,Peer-Assisted Learning PHYS 5,Lower,1,4,86,22,,,12.8%,11.6%,14.0%,6.5%,16.4%,18.2%,14.3%,14.7%,0.0%,0.0%,16.7%,6.3%,10.3%,14.9%,20.0%,9.3%,2.3,9.9,11.9,8.0,8.5,-6.3,-6.3,10.4,4.6,10.7,50.0%,50.0%,64.0%,12.8%,16.3%,39.5%,1.2%,1.2%,7.0%,18.6%,45.3%,54.7%,34.9%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12V,Peer-Assisted Learning BIO 25,Lower,1,2,76,38,,,11.8%,9.1%,30.0%,3.3%,17.4%,50.0%,0.0%,12.9%,,0.0%,0.0%,25.0%,7.5%,16.7%,12.5%,11.4%,20.9,14.1,25.0,-25.0,-12.1,,-25.0,-25.0,9.2,1.1,86.8%,13.2%,60.5%,5.3%,28.9%,40.8%,,1.3%,2.6%,15.8%,52.6%,47.4%,42.1%,
NSM,Natural Sciences & Mathematics,NSM,NSM 21,First Year Seminar,Lower,3,3,172,57,0.6%,0.0%,18.0%,19.7%,14.0%,20.5%,15.5%,22.2%,6.9%,25.3%,,0.0%,12.5%,14.3%,11.1%,24.2%,21.0%,16.0%,-5.7,-5.0,7.9,-7.4,11.0,,-14.3,-1.8,13.1,4.9,70.9%,29.1%,48.8%,5.2%,16.9%,45.9%,,1.7%,9.3%,16.3%,47.1%,52.9%,36.0%,
NSM,Natural Sciences & Mathematics,NSM,NSM 88,Exploring Health Careers,Lower,1,4,40,10,0.0%,0.0%,7.5%,10.0%,0.0%,0.0%,12.5%,0.0%,0.0%,14.3%,,,16.7%,0.0%,4.0%,13.3%,18.2%,3.6%,-10.0,12.5,0.0,0.0,14.3,,,16.7,9.3,14.6,75.0%,25.0%,60.0%,2.5%,35.0%,35.0%,,,15.0%,10.0%,62.5%,37.5%,27.5%,
NSM,Natural Sciences & Mathematics,NSM,NSM 90,Biomedical Research Seminars,Lower,1,2,18,9,,,11.1%,13.3%,0.0%,0.0%,15.4%,0.0%,,16.7%,,,,0.0%,0.0%,15.4%,20.0%,0.0%,-13.3,15.4,0.0,,16.7,,,,15.4,20.0,83.3%,16.7%,72.2%,5.6%,,66.7%,,,,27.8%,27.8%,72.2%,55.6%,
NSM,Natural Sciences & Mathematics,NSM,NSM 100A,Transfer Seminar I,Upper,1,4,97,24,0.0%,2.2%,4.1%,3.1%,6.1%,5.4%,2.4%,0.0%,3.8%,3.2%,,0.0%,0.0%,8.7%,4.8%,2.9%,3.4%,4.6%,2.9,-2.9,-8.7,-4.8,-5.5,,-8.7,-8.7,-2.0,-1.2,66.0%,34.0%,42.3%,3.1%,26.8%,32.0%,,1.0%,4.1%,23.7%,63.9%,36.1%,29.9%,
NSM,Natural Sciences & Mathematics,NSM,NSM 190,Senior Thesis Seminar,Upper,3,2,10,5,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,,0.0,,,,0.0,0.0,80.0%,20.0%,60.0%,10.0%,,40.0%,,,,50.0%,50.0%,50.0%,30.0%,
NSM,Natural Sciences & Mathematics,NSM,NSM 197,Honors Seminar  Peer Learning,Upper,2,4,129,32,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,68.2%,31.8%,42.6%,9.3%,25.6%,16.3%,,1.6%,5.4%,31.8%,72.9%,27.1%,19.4%,
NSM,Natural Sciences & Mathematics,NSM,NSM 197B,Adv Seminar in Peer Learning,Upper,2,4,23,6,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,52.2%,47.8%,39.1%,4.3%,21.7%,13.0%,,,13.0%,34.8%,82.6%,17.4%,13.0%,
NSM,Natural Sciences & Mathematics,NSM,NSM 197C,Lead/Supervisory PAL Seminar,Upper,2,4,25,6,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,72.0%,28.0%,32.0%,4.0%,16.0%,20.0%,,,,56.0%,76.0%,24.0%,16.0%,
NSM,Physics,ASTR,ASTR 4A,Intro to the Solar System,Lower,3,2,202,101,,1.5%,14.4%,18.6%,9.1%,17.0%,11.8%,16.7%,12.8%,13.1%,,66.7%,14.3%,14.3%,13.4%,15.2%,17.7%,12.6%,-9.5,-5.2,2.4,-1.5,-1.2,,52.4,0.0,1.8,5.1,55.9%,43.6%,50.5%,8.9%,19.3%,41.6%,,1.5%,6.9%,17.3%,48.0%,52.0%,39.1%,
NSM,Physics,ASTR,ASTR 4B,Intro to Stars and Galaxies,Lower,3,4,"1,008",252,2.9%,3.7%,14.2%,14.1%,14.3%,13.8%,14.5%,21.1%,11.6%,16.6%,0.0%,20.0%,16.9%,4.9%,11.1%,17.3%,14.1%,13.7%,0.2,0.7,16.2,6.7,11.7,-4.9,15.1,12.0,6.2,0.3,58.2%,41.6%,53.4%,7.5%,19.7%,41.2%,0.3%,1.0%,6.4%,18.3%,50.0%,50.0%,38.1%,
NSM,Physics,ASTR,ASTR 4C,Introduction to Astrobiology,Lower,3,2,171,86,1.2%,,8.2%,7.1%,9.3%,10.4%,6.4%,0.0%,5.7%,11.4%,0.0%,100.0%,11.1%,3.6%,6.1%,10.1%,7.9%,9.0%,2.2,-4.0,-3.6,2.1,7.9,-3.6,96.4,7.5,4.0,-1.1,49.7%,50.3%,55.0%,9.9%,20.5%,40.9%,0.6%,0.6%,5.3%,16.4%,48.0%,52.0%,44.4%,
NSM,Physics,ASTR,ASTR 6,Astronomical Observtn Lab,Lower,1,4,175,44,2.3%,1.1%,18.3%,14.4%,22.4%,17.0%,19.8%,22.2%,22.6%,20.0%,0.0%,0.0%,14.3%,12.8%,17.0%,19.8%,16.1%,19.3%,7.9,2.7,9.4,9.8,7.2,-12.8,-12.8,1.5,2.7,-3.2,51.4%,48.6%,46.3%,5.1%,17.7%,40.0%,0.6%,0.6%,8.0%,22.3%,53.7%,46.3%,32.0%,
NSM,Physics,ASTR,ASTR 131,The Solar System,Upper,3,2,56,28,0.0%,,19.6%,11.8%,23.1%,17.9%,21.4%,,25.0%,26.3%,,,0.0%,13.3%,16.2%,26.3%,25.0%,17.1%,11.3,3.6,,11.7,13.0,,,-13.3,10.1,7.9,30.4%,69.6%,50.0%,,28.6%,33.9%,,,7.1%,26.8%,66.1%,33.9%,35.7%,
NSM,Physics,ASTR,ASTR 132,"Stars,Galaxies&Cosmology",Upper,3,2,53,27,,0.0%,28.3%,35.3%,25.0%,14.8%,42.3%,100.0%,30.0%,45.5%,,,33.3%,15.0%,22.0%,50.0%,36.4%,26.8%,-10.3,27.5,85.0,15.0,30.5,,,18.3,28.0,9.5,32.1%,67.9%,49.1%,1.9%,18.9%,20.8%,,,11.3%,37.7%,77.4%,22.6%,20.8%,
NSM,Physics,ASTR,ASTR 150,Dark Matter and Dark Energy,Upper,3,1,9,9,,0.0%,22.2%,0.0%,25.0%,28.6%,0.0%,,,0.0%,,,50.0%,20.0%,25.0%,0.0%,,25.0%,25.0,-28.6,,,-20.0,,,30.0,-25.0,,11.1%,88.9%,22.2%,,,11.1%,,,22.2%,55.6%,88.9%,11.1%,,
NSM,Physics,ASTR,ASTR 199,Special Problems,Upper,1,4,23,6,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,56.5%,43.5%,39.1%,,13.0%,13.0%,,,13.0%,56.5%,87.0%,13.0%,13.0%,
NSM,Physics,PHSC,PHSC 75,Intro Machine Shop Pract,Lower,2,1,6,6,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,33.3%,66.7%,50.0%,,16.7%,50.0%,,,,33.3%,50.0%,50.0%,66.7%,
NSM,Physics,PHYS,PHYS 5A,"Gen Phys-Mech,Heat,Sound",Lower,4,4,"1,364",341,10.5%,15.1%,24.3%,25.0%,23.7%,24.1%,24.4%,36.6%,21.0%,29.0%,0.0%,0.0%,26.9%,16.8%,20.4%,29.5%,26.6%,22.8%,-1.4,0.4,19.8,4.2,12.3,-16.8,-16.8,10.1,9.1,3.8,44.2%,55.8%,49.8%,6.0%,22.4%,35.9%,0.1%,0.7%,4.9%,23.2%,57.3%,42.7%,34.8%,
NSM,Physics,PHYS,PHYS 5B,"Gen Phys-Lgt,Elec,Mag,Phy",Lower,4,4,906,227,10.3%,11.4%,20.9%,20.3%,21.3%,20.0%,21.8%,41.0%,14.8%,27.1%,,28.6%,17.6%,15.7%,15.8%,28.7%,25.2%,18.5%,1.0,1.8,25.3,-0.8,11.4,,12.9,2.0,12.8,6.7,45.1%,54.9%,47.6%,4.3%,23.1%,34.2%,,0.8%,5.6%,26.0%,60.7%,39.3%,33.8%,
NSM,Physics,PHYS,PHYS 10,Physics In Our World,Lower,3,4,99,25,2.0%,4.0%,18.2%,13.2%,23.9%,24.1%,9.8%,0.0%,13.6%,25.0%,,,12.5%,13.0%,15.5%,22.0%,23.1%,13.6%,10.7,-14.4,-13.0,0.6,12.0,,,-0.5,6.4,9.5,53.5%,46.5%,41.4%,5.1%,22.2%,36.4%,,,8.1%,23.2%,58.6%,41.4%,39.4%,
NSM,Physics,PHYS,PHYS 11A,Gen Phys-Mechanics,Lower,4,4,912,228,7.2%,9.2%,17.9%,17.8%,17.9%,18.1%,17.6%,17.2%,12.4%,23.8%,0.0%,28.6%,24.5%,15.1%,15.3%,23.2%,20.7%,16.8%,0.2,-0.5,2.1,-2.7,8.8,-15.1,13.5,9.4,7.8,3.9,18.5%,81.4%,45.5%,3.2%,29.2%,28.5%,0.2%,0.8%,5.8%,23.2%,67.3%,32.7%,31.3%,
NSM,Physics,PHYS,PHYS 11B,"Gen Phys-Heat, Waves, Mod",Lower,4,4,42,11,5.0%,4.5%,21.4%,13.3%,25.9%,20.0%,23.5%,50.0%,10.0%,16.7%,,,50.0%,25.0%,18.8%,30.0%,12.5%,24.2%,12.6,3.5,25.0,-15.0,-8.3,,,25.0,11.3,-11.7,35.7%,64.3%,40.5%,9.5%,23.8%,14.3%,,,4.8%,38.1%,76.2%,23.8%,19.0%,
NSM,Physics,PHYS,PHYS 11C,Gen Phys-Elect & Mag,Lower,4,4,820,205,10.5%,13.6%,21.3%,24.6%,20.7%,20.4%,22.6%,42.4%,16.1%,26.1%,0.0%,30.0%,25.0%,19.0%,18.0%,28.1%,25.4%,19.4%,-3.9,2.2,23.4,-2.9,7.1,-19.0,11.0,6.0,10.1,5.9,16.8%,83.0%,44.9%,4.0%,27.2%,27.6%,0.1%,1.2%,6.8%,25.0%,67.1%,32.9%,33.7%,
NSM,Physics,PHYS,PHYS 30,Science+Pseudoscience,Lower,3,4,101,25,0.0%,0.0%,14.9%,4.5%,22.8%,14.3%,15.6%,16.7%,11.1%,11.8%,,0.0%,20.0%,17.4%,16.9%,11.9%,4.5%,16.7%,18.3,1.3,-0.7,-6.3,-5.6,,-17.4,2.6,-5.0,-12.1,43.6%,56.4%,44.6%,5.9%,17.8%,33.7%,,2.0%,5.0%,22.8%,58.4%,41.6%,21.8%,
NSM,Physics,PHYS,PHYS 99,Special Problems,Lower,1,1,3,3,,,0.0%,,0.0%,0.0%,0.0%,0.0%,,,,,,0.0%,0.0%,0.0%,,0.0%,,0.0,0.0,,,,,,0.0,,,100.0%,66.7%,33.3%,,,,,,66.7%,66.7%,33.3%,,
NSM,Physics,PHYS,PHYS 105,Math Methods In Physics,Upper,3,2,26,13,23.1%,,23.1%,25.0%,22.2%,16.7%,37.5%,,37.5%,20.0%,,,,16.7%,23.8%,20.0%,33.3%,20.0%,-2.8,20.8,,20.8,3.3,,,,-3.8,13.3,30.8%,69.2%,30.8%,,30.8%,19.2%,,,,46.2%,80.8%,19.2%,23.1%,
NSM,Physics,PHYS,PHYS 106,Intro To Modern Physics,Upper,3,4,36,9,0.0%,6.3%,11.1%,0.0%,16.0%,10.0%,12.5%,,0.0%,33.3%,,,0.0%,5.9%,3.7%,33.3%,10.0%,11.5%,16.0,2.5,,-5.9,27.5,,,-5.9,29.6,-1.5,30.6%,69.4%,44.4%,,19.4%,25.0%,,,2.8%,47.2%,75.0%,25.0%,27.8%,
NSM,Physics,PHYS,PHYS 107,Conceptl Physics+Inquiry,Upper,4,4,343,86,0.0%,1.0%,2.6%,2.6%,3.3%,2.2%,3.2%,0.0%,5.6%,3.2%,0.0%,0.0%,3.6%,0.8%,2.4%,2.9%,2.1%,2.9%,0.8,1.0,-0.8,4.7,2.4,-0.8,-0.8,2.8,0.5,-0.8,91.3%,8.7%,45.8%,3.2%,10.5%,36.2%,0.3%,0.3%,8.2%,36.2%,60.1%,39.9%,27.7%,
NSM,Physics,PHYS,PHYS 110,Classical Mechanics,Upper,3,2,22,11,,4.5%,4.5%,0.0%,6.7%,6.7%,0.0%,,0.0%,25.0%,,,,0.0%,0.0%,25.0%,0.0%,5.6%,6.7,-6.7,,0.0,25.0,,,,25.0,-5.6,31.8%,68.2%,31.8%,,27.3%,18.2%,,,,40.9%,81.8%,18.2%,18.2%,
NSM,Physics,PHYS,PHYS 115,Electronics+Instrumentatn,Upper,4,2,18,9,11.1%,,5.6%,0.0%,7.1%,0.0%,16.7%,,0.0%,0.0%,,0.0%,0.0%,16.7%,7.7%,0.0%,0.0%,7.1%,7.1,16.7,,-16.7,-16.7,,-16.7,-16.7,-7.7,-7.1,22.2%,77.8%,33.3%,,22.2%,22.2%,,5.6%,5.6%,33.3%,72.2%,27.8%,16.7%,
NSM,Physics,PHYS,PHYS 116,Adv Elect+Instrumentation,Upper,3,1,5,5,,0.0%,20.0%,0.0%,25.0%,33.3%,0.0%,,50.0%,0.0%,,,,0.0%,33.3%,0.0%,0.0%,33.3%,25.0,-33.3,,50.0,0.0,,,,-33.3,-33.3,20.0%,80.0%,40.0%,,40.0%,40.0%,,,,20.0%,60.0%,40.0%,40.0%,
NSM,Physics,PHYS,PHYS 124,Thermodynamics+Stat Mech,Upper,3,2,27,14,,7.4%,11.1%,11.1%,11.1%,7.1%,15.4%,,14.3%,16.7%,,,50.0%,0.0%,9.5%,16.7%,12.5%,12.5%,0.0,8.2,,14.3,16.7,,,50.0,7.1,0.0,33.3%,66.7%,48.1%,,25.9%,22.2%,,,7.4%,33.3%,77.8%,22.2%,29.6%,
NSM,Physics,PHYS,PHYS 135,Electricity And Magnetism,Upper,3,2,37,19,,24.3%,45.9%,50.0%,44.0%,45.5%,46.7%,,62.5%,66.7%,,100.0%,50.0%,33.3%,40.0%,71.4%,40.0%,48.3%,-6.0,1.2,,29.2,33.3,,66.7,16.7,31.4,-8.3,32.4%,67.6%,40.5%,,21.6%,16.2%,,2.7%,5.4%,40.5%,81.1%,18.9%,13.5%,
NSM,Physics,PHYS,PHYS 136,Electrodynamics,Upper,3,2,17,9,5.9%,,11.8%,0.0%,15.4%,15.4%,0.0%,,,0.0%,,,0.0%,0.0%,14.3%,0.0%,0.0%,0.0%,15.4,-15.4,,,0.0,,,0.0,-14.3,0.0,23.5%,76.5%,23.5%,,,17.6%,,,23.5%,29.4%,82.4%,17.6%,23.5%,
NSM,Physics,PHYS,PHYS 150,Quantum Mechanics,Upper,3,2,19,10,5.3%,,21.1%,16.7%,23.1%,15.4%,33.3%,,0.0%,100.0%,,,0.0%,20.0%,11.8%,100.0%,0.0%,23.5%,6.4,17.9,,-20.0,80.0,,,-20.0,88.2,-23.5,31.6%,68.4%,31.6%,,5.3%,10.5%,,,21.1%,52.6%,89.5%,10.5%,5.3%,
NSM,Physics,PHYS,PHYS 151,Advanced Modern Physics,Upper,3,2,10,5,,0.0%,20.0%,0.0%,28.6%,14.3%,33.3%,,100.0%,,,,0.0%,0.0%,20.0%,,0.0%,14.3%,28.6,19.0,,100.0,,,,0.0,,-14.3,30.0%,70.0%,30.0%,,10.0%,,,,20.0%,40.0%,100.0%,,10.0%,
